Period,Ax,Bx,Gap,Au,Lam,Force
950,115,315,170,110,0.642,8.11E-10
950,115,315,170,130,0.632,8.34E-10
950,115,315,170,130,0.634,8.33E-10
950,115,315,170,130,0.636,8.30E-10
950,115,315,170,130,0.638,8.25E-10
950,115,315,170,130,0.64,8.18E-10
950,115,315,170,130,0.642,8.10E-10
950,115,315,170,150,0.632,8.25E-10
950,115,315,170,150,0.634,8.25E-10
950,115,315,170,150,0.636,8.22E-10
950,115,315,170,150,0.638,8.18E-10
950,115,315,170,150,0.64,8.13E-10
950,115,315,170,150,0.642,8.08E-10
950,115,315,220,50,0.632,1.93E-10
950,115,315,220,50,0.634,1.69E-10
950,115,315,220,50,0.636,1.45E-10
950,115,315,220,50,0.638,1.14E-10
950,115,315,220,50,0.64,7.77E-11
950,115,315,220,50,0.642,1.03E-10
950,115,315,220,70,0.632,5.37E-10
950,115,315,220,70,0.634,5.20E-10
950,115,315,220,70,0.636,5.01E-10
950,115,315,220,70,0.638,4.78E-10
950,115,315,220,70,0.64,4.47E-10
950,115,315,220,70,0.642,3.74E-10
950,115,315,220,90,0.632,7.26E-10
950,115,315,220,90,0.634,7.12E-10
950,115,315,220,90,0.636,6.97E-10
950,115,315,220,90,0.638,6.80E-10
950,115,315,220,90,0.64,6.58E-10
950,115,315,220,90,0.642,6.00E-10
950,115,315,220,110,0.632,7.78E-10
950,115,315,220,110,0.634,7.64E-10
950,115,315,220,110,0.636,7.52E-10
950,115,315,220,110,0.638,7.38E-10
950,115,315,220,110,0.64,7.23E-10
950,115,315,220,110,0.642,6.90E-10
950,115,315,220,130,0.632,7.88E-10
950,115,315,220,130,0.634,7.75E-10
950,115,315,220,130,0.636,7.62E-10
950,115,315,220,130,0.638,7.51E-10
950,115,315,220,130,0.64,7.38E-10
950,115,315,220,130,0.642,7.19E-10
950,115,315,220,150,0.632,7.90E-10
950,115,315,220,150,0.634,7.76E-10
950,115,315,220,150,0.636,7.64E-10
950,115,315,220,150,0.638,7.53E-10
950,115,315,220,150,0.64,7.42E-10
950,115,315,220,150,0.642,7.29E-10
950,115,315,270,50,0.632,-5.20E-11
950,115,315,270,50,0.634,-4.58E-11
950,115,315,270,50,0.636,-3.89E-11
950,115,315,270,50,0.638,-2.95E-11
950,115,315,270,50,0.64,-1.65E-11
950,115,315,270,50,0.642,-4.29E-11
950,115,315,270,70,0.632,-1.46E-10
950,115,315,270,70,0.634,-1.42E-10
950,115,315,270,70,0.636,-1.37E-10
950,115,315,270,70,0.638,-1.30E-10
950,115,315,270,70,0.64,-1.20E-10
950,115,315,270,70,0.642,-9.49E-11
950,115,315,270,90,0.632,-2.05E-10
950,115,315,270,90,0.634,-2.02E-10
950,115,315,270,90,0.636,-1.98E-10
950,115,315,270,90,0.638,-1.93E-10
950,115,315,270,90,0.64,-1.87E-10
950,115,315,270,90,0.642,-1.62E-10
950,115,315,270,110,0.632,-2.27E-10
950,115,315,270,110,0.634,-2.23E-10
950,115,315,270,110,0.636,-2.20E-10
950,115,315,270,110,0.638,-2.16E-10
950,115,315,270,110,0.64,-2.11E-10
950,115,315,270,110,0.642,-1.97E-10
950,115,315,270,130,0.632,-2.33E-10
950,115,315,270,130,0.634,-2.29E-10
950,115,315,270,130,0.636,-2.26E-10
950,115,315,270,130,0.638,-2.22E-10
950,115,315,270,130,0.64,-2.18E-10
950,115,315,270,130,0.642,-2.11E-10
950,115,315,270,150,0.632,-2.34E-10
950,115,315,270,150,0.634,-2.31E-10
950,115,315,270,150,0.636,-2.27E-10
950,115,315,270,150,0.638,-2.24E-10
950,115,315,270,150,0.64,-2.20E-10
950,115,315,270,150,0.642,-2.16E-10
950,115,315,320,50,0.632,-2.45E-10
950,115,315,320,50,0.634,-2.16E-10
950,115,315,320,50,0.636,-1.86E-10
950,115,315,320,50,0.638,-1.48E-10
950,115,315,320,50,0.64,-9.55E-11
950,115,315,320,50,0.642,-2.55E-11
950,115,315,320,70,0.632,-6.96E-10
950,115,315,320,70,0.634,-6.76E-10
950,115,315,320,70,0.636,-6.54E-10
950,115,315,320,70,0.638,-6.25E-10
950,115,315,320,70,0.64,-5.79E-10
950,115,315,320,70,0.642,-5.09E-10
950,115,315,320,90,0.632,-8.97E-10
950,115,315,320,90,0.634,-8.82E-10
950,115,315,320,90,0.636,-8.66E-10
950,115,315,320,90,0.638,-8.46E-10
950,115,315,320,90,0.64,-8.17E-10
950,115,315,320,90,0.642,-7.70E-10
950,115,315,320,110,0.632,-9.32E-10
950,115,315,320,110,0.634,-9.19E-10
950,115,315,320,110,0.636,-9.06E-10
950,115,315,320,110,0.638,-8.92E-10
950,115,315,320,110,0.64,-8.74E-10
950,115,315,320,110,0.642,-8.47E-10
950,115,315,320,130,0.632,-9.31E-10
950,115,315,320,130,0.634,-9.19E-10
950,115,315,320,130,0.636,-9.08E-10
950,115,315,320,130,0.638,-8.96E-10
950,115,315,320,130,0.64,-8.83E-10
950,115,315,320,130,0.642,-8.67E-10
950,115,315,320,150,0.632,-9.28E-10
950,115,315,320,150,0.634,-9.16E-10
950,115,315,320,150,0.636,-9.05E-10
950,115,315,320,150,0.638,-8.95E-10
950,115,315,320,150,0.64,-8.83E-10
950,115,315,320,150,0.642,-8.71E-10
950,115,315,370,50,0.632,-1.71E-10
950,115,315,370,50,0.634,-1.56E-10
950,115,315,370,50,0.636,-1.39E-10
950,115,315,370,50,0.638,-1.20E-10
950,115,315,370,50,0.64,-9.69E-11
950,115,315,370,50,0.642,8.37E-11
950,115,315,370,70,0.632,-6.16E-10
950,115,315,370,70,0.634,-6.13E-10
950,115,315,370,70,0.636,-6.05E-10
950,115,315,370,70,0.638,-5.92E-10
950,115,315,370,70,0.64,-5.61E-10
950,115,315,370,70,0.642,-5.13E-10
950,115,315,370,90,0.632,-7.01E-10
950,115,315,370,90,0.634,-7.06E-10
950,115,315,370,90,0.636,-7.04E-10
950,115,315,370,90,0.638,-6.99E-10
950,115,315,370,90,0.64,-6.84E-10
950,115,315,370,90,0.642,-6.61E-10
950,115,315,370,110,0.632,-6.77E-10
950,115,315,370,110,0.634,-6.85E-10
950,115,315,370,110,0.636,-6.87E-10
950,115,315,370,110,0.638,-6.86E-10
950,115,315,370,110,0.64,-6.81E-10
950,115,315,370,110,0.642,-6.70E-10
950,115,315,370,130,0.632,-6.57E-10
950,115,315,370,130,0.634,-6.66E-10
950,115,315,370,130,0.636,-6.69E-10
950,115,315,370,130,0.638,-6.70E-10
950,115,315,370,130,0.64,-6.69E-10
950,115,315,370,130,0.642,-6.65E-10
950,115,315,370,150,0.632,-6.48E-10
950,115,315,370,150,0.634,-6.57E-10
950,115,315,370,150,0.636,-6.61E-10
950,115,315,370,150,0.638,-6.63E-10
950,115,315,370,150,0.64,-6.63E-10
950,115,315,370,150,0.642,-6.61E-10
950,115,315,420,50,0.632,7.53E-11
950,115,315,420,50,0.634,6.04E-11
950,115,315,420,50,0.636,4.69E-11
950,115,315,420,50,0.638,2.72E-11
950,115,315,420,50,0.64,-3.64E-11
950,115,315,420,50,0.642,3.81E-10
950,115,315,420,70,0.632,-2.19E-10
950,115,315,420,70,0.634,-2.37E-10
