Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual,,,,,,,,,,,,,,
1000,135,215,370,130,0.638,-0.411712770758513,-1.10619786079611,,,,,,,,,,,,,,
950,175,295,270,90,0.632,0.0482784581135629,-1.08094478811512,,,,,,,,,,,,,,
1050,195,315,220,130,0.642,0.467954003302271,1.66081738867741,,,,,,,,,,,,,,
1050,195,315,120,70,0.642,0.182018355031666,-1.11341302441924,,,,,,,,,,,,,,
1100,175,315,320,50,0.64,-0.102942473620155,-0.0491042383701211,,,,,,,,,,,,,,
1150,175,295,120,70,0.632,-0.032743228083123,-0.662465297973104,,,,,,,,,,,,,,
1000,175,215,20,130,0.638,-0.119722923721699,-0.0960028019205197,,,,,,,,,,,,,,
1150,175,235,20,150,0.638,-0.102689629007867,-0.0741127170042806,,,,,,,,,,,,,,
1150,195,235,70,150,0.642,0.16922756701313,0.0554434825291521,,,,,,,,,,,,,,
1050,115,315,70,130,0.642,0.556545933697942,-0.268156605968598,,,,,,,,,,,,,,
950,155,295,220,130,0.634,0.355971662327554,1.57062784338818,,,,,,,,,,,,,,
950,115,295,270,110,0.638,0.127658898916164,-0.0708687794393176,,,,,,,,,,,,,,
1000,175,335,20,130,0.634,0.205061341043915,-0.0632459590714721,,,,,,,,,,,,,,
1050,195,255,320,70,0.64,-0.065240673710786,-0.0544434594512434,,,,,,,,,,,,,,
1050,135,255,270,130,0.638,0.382404700452568,1.70771595222781,,,,,,,,,,,,,,
1100,135,335,70,90,0.636,0.213350442710374,0.0388486061959341,,,,,,,,,,,,,,
1150,135,275,320,70,0.638,0.0890767891901803,0.157177289615401,,,,,,,,,,,,,,
950,155,275,420,130,0.64,-1.38206414214331,-0.684110788842518,,,,,,,,,,,,,,
1200,155,295,70,110,0.636,-0.0226622312994165,-0.20718847335308,,,,,,,,,,,,,,
1200,175,215,420,130,0.636,-0.249758223727734,-0.125296366230461,,,,,,,,,,,,,,
1150,175,235,320,110,0.634,0.153786741806334,0.156095015071931,,,,,,,,,,,,,,
1050,135,275,170,150,0.634,0.753598482055458,2.75391467758286,,,,,,,,,,,,,,
1150,135,215,120,90,0.642,-0.0169409022547748,0.204797369528114,,,,,,,,,,,,,,
950,155,255,420,70,0.632,-0.94767897479941,0.376518263758804,,,,,,,,,,,,,,
1050,195,335,320,150,0.642,-0.194307818848182,-2.170434495209,,,,,,,,,,,,,,
950,195,255,170,110,0.642,0.320940982781464,0.982592008102417,,,,,,,,,,,,,,
950,135,335,70,90,0.64,0.271502860611291,0.502783627163723,,,,,,,,,,,,,,
1150,155,275,170,150,0.64,0.718091375520582,1.42993215273699,,,,,,,,,,,,,,
1000,115,335,70,50,0.636,0.0329876087824772,-0.756262425073901,,,,,,,,,,,,,,
1000,135,215,120,110,0.634,0.331584285034135,-0.188429047932921,,,,,,,,,,,,,,
1150,155,215,20,110,0.642,-0.495790820982744,-0.0536858672708139,,,,,,,,,,,,,,
1200,195,215,220,70,0.632,-0.126444975947145,0.0424561880075033,,,,,,,,,,,,,,
1200,175,235,20,150,0.642,-0.255829227580961,-0.0611896374388777,,,,,,,,,,,,,,
1050,155,215,420,50,0.64,-0.458601126966066,-0.164619007976564,,,,,,,,,,,,,,
1150,175,295,170,150,0.636,0.699725985201868,0.989807171725555,,,,,,,,,,,,,,
1100,155,315,170,110,0.632,0.572839693098192,1.10885737150734,,,,,,,,,,,,,,
1100,115,295,70,90,0.642,0.140320260121086,0.592973172452952,,,,,,,,,,,,,,
1150,175,335,320,150,0.638,0.124307776643946,-0.0720737117643817,,,,,,,,,,,,,,
1100,175,275,270,70,0.638,0.158540571869173,0.137335589651771,,,,,,,,,,,,,,
1200,155,215,270,130,0.638,0.414544767596678,0.538859445279415,,,,,,,,,,,,,,
1100,155,315,220,90,0.632,0.420353727941096,1.52733686164936,,,,,,,,,,,,,,
1200,115,315,420,90,0.638,-0.43546241453921,-0.687718370654087,,,,,,,,,,,,,,
1000,155,275,420,150,0.634,-1.28049021030285,-1.18195707883906,,,,,,,,,,,,,,
950,195,295,20,130,0.636,0.0332119915075006,-0.0732858592530689,,,,,,,,,,,,,,
950,195,315,20,110,0.64,-0.0182428050318419,-0.0480219638266504,,,,,,,,,,,,,,
950,155,215,70,130,0.64,0.171755185367488,0.0056588535294982,,,,,,,,,,,,,,
1100,195,335,20,70,0.638,-0.380641473043658,-0.276814802316364,,,,,,,,,,,,,,
950,155,215,170,50,0.634,0.0807417018104948,-0.904173279348235,,,,,,,,,,,,,,
1200,175,315,70,110,0.64,-0.00506420458727686,-0.0726256717815518,,,,,,,,,,,,,,
1150,155,275,170,130,0.636,0.588641743131352,0.495568463540585,,,,,,,,,,,,,,
1100,135,215,270,90,0.632,0.287377841060628,0.157538047796558,,,,,,,,,,,,,,
1150,195,315,70,70,0.642,-0.267890236798061,-0.380352400308398,,,,,,,,,,,,,,
1000,195,215,70,110,0.634,0.0167493387899125,-0.0866591650285557,,,,,,,,,,,,,,
1000,115,315,220,90,0.642,0.427165515761088,1.61391882512701,,,,,,,,,,,,,,
1000,195,275,20,70,0.64,-0.361295322785236,-0.226669415135553,,,,,,,,,,,,,,
1100,195,215,170,50,0.64,-0.163473702103872,-0.292327404106111,,,,,,,,,,,,,,
1000,155,235,120,90,0.64,0.2364163762521,0.266487018505946,,,,,,,,,,,,,,
1200,175,335,170,150,0.634,0.71495077772206,0.816643244770237,,,,,,,,,,,,,,
950,155,335,320,50,0.632,-0.30935133994517,-0.749047261450763,,,,,,,,,,,,,,
1100,155,295,370,70,0.634,-0.286390652638151,-0.442402807467387,,,,,,,,,,,,,,
1000,195,335,220,150,0.642,0.415564413022024,0.665124808684334,,,,,,,,,,,,,,
1150,135,215,320,50,0.64,0.0203388745199788,-0.633604643480551,,,,,,,,,,,,,,
1000,115,335,70,50,0.634,0.0329875348279272,-1.75556258687855,,,,,,,,,,,,,,
1100,195,315,370,90,0.642,-0.405423045759604,-1.32986793311339,,,,,,,,,,,,,,
1000,175,255,120,130,0.634,0.457055535085853,0.264683227600161,,,,,,,,,,,,,,
1100,175,315,420,110,0.634,-0.880322020296014,-1.77360049593639,,,,,,,,,,,,,,
1200,155,275,20,130,0.636,-0.248706353805989,-0.104047709360319,,,,,,,,,,,,,,
1050,155,235,320,90,0.634,0.0421215495884013,0.0853864115651758,,,,,,,,,,,,,,
1200,115,315,370,130,0.64,-0.00696529761215636,0.401771336439788,,,,,,,,,,,,,,
1150,135,335,320,50,0.634,-0.0477546892848642,-0.0923230684727192,,,,,,,,,,,,,,
1100,155,315,20,150,0.638,0.293240914708446,0.000247480812144511,,,,,,,,,,,,,,
950,195,215,420,90,0.636,-0.901503321765228,-0.0595301498055559,,,,,,,,,,,,,,
1100,135,335,120,150,0.638,0.842916647661973,1.44797006179483,,,,,,,,,,,,,,
1200,155,295,320,110,0.634,0.207718907156192,0.553289772525691,,,,,,,,,,,,,,
