Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual
950.0,135.0,235.0,220.0,150.0,0.634,5.101528239166912e-10,5.27e-10
950.0,195.0,275.0,70.0,70.0,0.636,-8.084001994836324e-11,-8.219999999999998e-11
950.0,195.0,235.0,20.0,50.0,0.64,1.231184822316046e-11,-1.5599999999999997e-11
950.0,175.0,215.0,70.0,130.0,0.634,3.5880745460373346e-12,-7.64e-13
950.0,115.0,295.0,270.0,150.0,0.634,-3.861766835580811e-12,1.4300000000000002e-12
950.0,135.0,215.0,220.0,150.0,0.634,3.9415391635135716e-10,4.18e-10
950.0,195.0,295.0,70.0,130.0,0.634,3.6085638156641187e-11,6.31e-11
950.0,175.0,275.0,420.0,150.0,0.642,-8.730331979809758e-11,-9.8e-11
950.0,175.0,335.0,320.0,130.0,0.632,-3.8840123238938246e-10,-3.6500000000000003e-10
950.0,175.0,215.0,20.0,70.0,0.638,-3.9863746484617187e-11,-3.11e-11
950.0,135.0,295.0,220.0,70.0,0.636,3.2094457366222193e-10,3.15e-10
950.0,115.0,315.0,20.0,90.0,0.64,5.23171150601922e-11,2.6200000000000004e-11
950.0,135.0,255.0,270.0,130.0,0.642,1.1366013502394608e-10,1.41e-10
950.0,175.0,335.0,370.0,130.0,0.632,-6.584391428910615e-11,-1.14e-10
950.0,175.0,315.0,120.0,110.0,0.632,3.128444470180574e-10,2.81e-10
950.0,155.0,295.0,270.0,130.0,0.64,-2.83983054545728e-10,-3.11e-10
950.0,175.0,215.0,270.0,90.0,0.634,1.2840664928156385e-11,1.81e-11
950.0,175.0,275.0,70.0,110.0,0.636,2.1401780208363454e-11,2.5500000000000002e-11
950.0,195.0,215.0,320.0,150.0,0.632,-8.258836997910799e-11,-9.53e-11
950.0,135.0,215.0,220.0,90.0,0.634,2.7452751537880806e-10,2.9e-10
950.0,175.0,235.0,120.0,130.0,0.64,1.33905053989888e-10,1.19e-10
950.0,195.0,335.0,70.0,50.0,0.638,-5.423357147632734e-12,-7.69e-11
950.0,195.0,235.0,20.0,50.0,0.634,-5.67679959135228e-11,-5.84e-11
950.0,135.0,235.0,220.0,70.0,0.632,1.0865182123768715e-10,1.47e-10
950.0,195.0,335.0,220.0,70.0,0.634,-4.4814312293180034e-11,-7.62e-11
950.0,155.0,255.0,170.0,130.0,0.634,4.4776382225774804e-10,4.15e-10
950.0,155.0,235.0,170.0,130.0,0.632,3.1856405769449417e-10,2.94e-10
950.0,155.0,275.0,420.0,50.0,0.632,2.354966547050762e-10,2.62e-10
950.0,155.0,315.0,120.0,130.0,0.632,3.5779215679075757e-10,3.4800000000000004e-10
950.0,135.0,315.0,20.0,150.0,0.634,4.647162394062022e-11,9.430000000000002e-12
950.0,135.0,295.0,70.0,130.0,0.64,9.833200455785599e-11,1.04e-10
950.0,195.0,235.0,320.0,130.0,0.642,-2.0569216992559755e-10,-2.0500000000000002e-10
950.0,135.0,275.0,270.0,70.0,0.64,-5.968443351111993e-12,4.22e-12
950.0,175.0,235.0,20.0,150.0,0.632,-7.703873044186414e-12,-4.06e-12
950.0,135.0,335.0,70.0,110.0,0.638,1.1321301555497466e-10,1.52e-10
950.0,115.0,295.0,420.0,90.0,0.632,-3.8668542188175013e-10,-3.32e-10
950.0,155.0,235.0,420.0,150.0,0.632,-2.1175668211117701e-10,-1.67e-10
950.0,175.0,235.0,370.0,70.0,0.638,3.333840265829305e-11,8.279999999999998e-12
950.0,195.0,335.0,270.0,70.0,0.632,-2.372770577737484e-10,-2.86e-10
950.0,155.0,255.0,370.0,50.0,0.64,6.11010688031819e-11,9.49e-11
950.0,195.0,215.0,320.0,130.0,0.642,-1.1271189539626421e-10,-9.8e-11
950.0,135.0,335.0,220.0,110.0,0.642,3.4780916104982407e-10,3.79e-10
950.0,115.0,315.0,70.0,110.0,0.632,7.524316764479296e-11,1.0300000000000002e-10
950.0,175.0,295.0,420.0,50.0,0.642,3.84189558952252e-10,3.4399999999999995e-10
950.0,195.0,315.0,370.0,90.0,0.634,-3.120902607697091e-11,-1.32e-11
950.0,175.0,295.0,220.0,150.0,0.642,2.2470563939230073e-10,2.62e-10
950.0,175.0,295.0,20.0,70.0,0.636,-6.075657558035672e-11,-8.33e-11
950.0,115.0,335.0,220.0,150.0,0.634,6.142756619129917e-10,6.640000000000001e-10
950.0,155.0,275.0,170.0,50.0,0.634,-8.059756925982897e-11,-7.47e-11
950.0,135.0,235.0,370.0,50.0,0.638,1.5833108694273216e-10,1.13e-10
950.0,155.0,235.0,370.0,50.0,0.64,4.699763440156375e-11,8.59e-11
950.0,135.0,275.0,420.0,110.0,0.632,-1.9616819600358464e-10,-2.2e-10
950.0,175.0,295.0,120.0,50.0,0.64,-1.3679223385866232e-10,-8.24e-11
950.0,195.0,255.0,120.0,70.0,0.638,-4.1529764218182914e-11,-3.54e-11
950.0,155.0,275.0,370.0,70.0,0.64,-2.2881139844374034e-10,-1.84e-10
950.0,195.0,215.0,270.0,70.0,0.642,-2.714894192347794e-13,1.75e-12
950.0,195.0,235.0,270.0,90.0,0.634,-1.5537314527684697e-11,-2.6100000000000006e-11
950.0,195.0,255.0,70.0,150.0,0.634,9.812289623049643e-12,2.9100000000000002e-11
950.0,175.0,235.0,370.0,110.0,0.638,-2.2787601496096486e-10,-2.19e-10
950.0,155.0,295.0,220.0,70.0,0.634,1.7364018398494907e-10,1.87e-10
950.0,155.0,235.0,20.0,130.0,0.636,-1.4453814141903416e-14,-2.87e-12
950.0,175.0,315.0,120.0,110.0,0.636,3.271974022763981e-10,2.93e-10
950.0,155.0,335.0,20.0,50.0,0.634,-8.993158650575485e-11,-1.05e-10
950.0,135.0,235.0,20.0,70.0,0.638,-4.6212900633394e-11,-2.7499999999999996e-11
950.0,135.0,275.0,320.0,90.0,0.632,-5.026817016880785e-10,-5.22e-10
950.0,195.0,335.0,120.0,50.0,0.632,1.6632750191255613e-10,1.91e-10
950.0,135.0,315.0,420.0,90.0,0.634,-1.1759226338383905e-10,-1.24e-10
950.0,155.0,275.0,20.0,50.0,0.632,-1.847272335370462e-10,-1.5500000000000003e-10
950.0,155.0,335.0,270.0,150.0,0.642,-5.137849564965605e-10,-5.58e-10
950.0,135.0,215.0,70.0,130.0,0.64,8.675925629427423e-12,2.6300000000000002e-11
950.0,175.0,215.0,20.0,150.0,0.64,1.1316035712487516e-11,1.2800000000000002e-12
950.0,175.0,275.0,370.0,130.0,0.636,-2.6907503243350555e-10,-2.53e-10
950.0,135.0,275.0,220.0,70.0,0.64,2.8201386800861423e-10,3.02e-10
950.0,195.0,295.0,420.0,90.0,0.642,-1.0957527065995118e-11,1.7599999999999996e-11
950.0,135.0,235.0,370.0,150.0,0.636,-5.001372553046359e-10,-5.32e-10
950.0,195.0,295.0,70.0,70.0,0.634,-8.663350064344225e-11,-6.27e-11
950.0,115.0,315.0,270.0,130.0,0.638,-2.287792706301048e-10,-2.22e-10
950.0,195.0,295.0,270.0,110.0,0.636,-2.6946575041078466e-10,-3.07e-10
950.0,175.0,315.0,320.0,130.0,0.634,-4.548447684775372e-10,-4.3e-10
950.0,175.0,235.0,320.0,50.0,0.634,3.85359501700789e-11,3.32e-11
950.0,175.0,315.0,220.0,50.0,0.636,8.528323987917787e-12,2.7199999999999994e-11
950.0,175.0,315.0,220.0,70.0,0.634,4.8102885117118356e-11,7.53e-11
950.0,135.0,335.0,20.0,110.0,0.632,3.792488366361504e-11,1.55e-12
950.0,115.0,315.0,420.0,70.0,0.64,-3.026397449412715e-10,-2.86e-10
950.0,115.0,335.0,70.0,70.0,0.642,-1.5307889401795382e-11,-7.900000000000001e-11
950.0,115.0,295.0,420.0,130.0,0.64,-3.643045745426714e-10,-3.6099999999999994e-10
950.0,195.0,235.0,20.0,130.0,0.638,1.0235286712124393e-11,-2.1e-12
950.0,195.0,215.0,120.0,70.0,0.632,-2.0201000565122047e-11,-4.16e-11
950.0,135.0,275.0,120.0,130.0,0.634,2.3947727754582e-10,2.47e-10
950.0,175.0,295.0,420.0,50.0,0.634,1.6037697538583546e-10,1.68e-10
950.0,135.0,295.0,270.0,150.0,0.636,-1.6623870383467864e-10,-1.91e-10
950.0,135.0,275.0,120.0,150.0,0.64,2.670375497321793e-10,2.78e-10
950.0,175.0,295.0,170.0,70.0,0.638,1.0153903718480837e-10,1.4399999999999997e-10
950.0,155.0,295.0,170.0,70.0,0.636,2.504231408453341e-10,2.37e-10
950.0,175.0,335.0,120.0,50.0,0.634,1.0874082529233631e-10,8.73e-11
950.0,135.0,275.0,70.0,70.0,0.64,3.632212265786917e-11,6.49e-11
950.0,175.0,335.0,20.0,70.0,0.634,-5.658470881911921e-11,-6.44e-11
950.0,135.0,215.0,370.0,110.0,0.638,-3.451235308839761e-10,-3.76e-10
